group,model,prompt,mode,label,species,reactions,species_reduction,reaction_reduction,success,coverage,full_E,subset_E,sha256,endpoint,run,source,median,p95,max,E_change_percent,species_pareto,reactions_pareto
GPT 普通 Solo,GPT,普通,Solo,candidate_1,101,542,0.09009009009009006,0.3086734693877551,610,1.0,2.674385628857178,2.674385628857178,a8b14e0121f1310b67d8340c3944f0ec7e2628a9e2dabf366d9c87f265278243,cfx_astra_3a9fcc9a572e45bfb6a6fcb6_endpoint_bulk_v1,solo-20260915T131056.265011Z-108d5c07,evidence/cfx_astra_3a9fcc9a572e45bfb6a6fcb6_endpoint_bulk_v1/evaluation_result.json,1.8934399459920332,7.763065412744742,23.914464817385717,0.25028116177938653,False,False
GPT 普通 Solo,GPT,普通,Solo,candidate_2,87,513,0.21621621621621623,0.34566326530612246,610,1.0,2.6232375066664986,2.6232375066664986,6a8e399a0c705794e452df96c71a70df61a320a211f574e404ad225bf45c5d9e,cfx_astra_3a9fcc9a572e45bfb6a6fcb6_endpoint_bulk_v1,solo-20260915T131056.265011Z-108d5c07,evidence/cfx_astra_3a9fcc9a572e45bfb6a6fcb6_endpoint_bulk_v1/evaluation_result.json,1.8138798411653263,7.682655635198202,24.338897851857368,-1.6670240971124684,True,True
GPT 普通 Solo,GPT,普通,Solo,candidate_3,81,464,0.2702702702702703,0.40816326530612246,610,1.0,2.6999652745037905,2.6999652745037905,35076c27997a116024e001d8b67aa3e79f8d392a1c9a7ab4e00d5c01d9b2cdeb,cfx_astra_3a9fcc9a572e45bfb6a6fcb6_endpoint_bulk_v1,solo-20260915T131056.265011Z-108d5c07,evidence/cfx_astra_3a9fcc9a572e45bfb6a6fcb6_endpoint_bulk_v1/evaluation_result.json,1.8991304257551338,7.752180860133873,23.282832587909358,1.2091431300840005,True,True
GPT 普通 Team,GPT,普通,Team,candidate_1,54,392,0.5135135135135135,0.5,553,0.9065573770491804,,3.2698157667038172,d82ae41282e84dd026407c576aba3bcdb80a0f395181c27aa8a5602ea5f44599,cfx_astra_ca02e2d6c3b1457f9b99bb1a_endpoint_bulk_v1,team-20260915T131059.107037Z-e89a0b43,evidence/cfx_astra_ca02e2d6c3b1457f9b99bb1a_endpoint_bulk_v1/evaluation_result.json,2.4111313224338717,10.293814682833636,17.784995020479336,,,
GPT 普通 Team,GPT,普通,Team,candidate_2,56,402,0.49549549549549554,0.4872448979591837,553,0.9065573770491804,,3.2911526270805975,5becdc5cd5a4aba61233d653fdfba3be343f81bd30f64774597946bdcda736f3,cfx_astra_ca02e2d6c3b1457f9b99bb1a_endpoint_bulk_v1,team-20260915T131059.107037Z-e89a0b43,evidence/cfx_astra_ca02e2d6c3b1457f9b99bb1a_endpoint_bulk_v1/evaluation_result.json,2.4704611037624056,10.317773610770347,18.024087625193584,,,
GPT 普通 Team,GPT,普通,Team,candidate_3,69,461,0.3783783783783784,0.4119897959183674,553,0.9065573770491804,,2.9104331548305162,d6e50306e2657ea1d0e8604f4f59db80f759aeb9af9e9b5688da5dfc46e1c040,cfx_astra_ca02e2d6c3b1457f9b99bb1a_endpoint_bulk_v1,team-20260915T131059.107037Z-e89a0b43,evidence/cfx_astra_ca02e2d6c3b1457f9b99bb1a_endpoint_bulk_v1/evaluation_result.json,2.112224313281867,7.952637965351708,18.546959622665437,,,
GPT 专家 Solo,GPT,专家,Solo,candidate_1,93,553,0.16216216216216217,0.2946428571428571,610,1.0,2.7035344076988412,2.7035344076988412,66d77dac9fbdc47c6ad6cd25753b1943efb1341ec94366c7a4ebe54c367d0517,cfx_astra_eaab23cebb934bb2ba9f69f0_endpoint,expert-v2-solo-20260915T173616.942323Z-0bbd299d,evidence/cfx_astra_eaab23cebb934bb2ba9f69f0_endpoint/evaluation_result.json,1.9045071663233288,7.773970156540284,18.670492596028456,1.3429333368690122,False,False
GPT 专家 Solo,GPT,专家,Solo,candidate_2,88,475,0.2072072072072072,0.39413265306122447,610,1.0,2.7174395521423196,2.7174395521423196,ddb2cc5e6d0c7b6f2c076217a0f9c3b9c895c1cfa1556a78a5748df104278aa8,cfx_astra_eaab23cebb934bb2ba9f69f0_endpoint,expert-v2-solo-20260915T173616.942323Z-0bbd299d,evidence/cfx_astra_eaab23cebb934bb2ba9f69f0_endpoint/evaluation_result.json,1.9199263654262069,7.983874795900223,18.480976948428847,1.8641725422447797,False,False
GPT 专家 Solo,GPT,专家,Solo,candidate_3,74,433,0.33333333333333337,0.4477040816326531,595,0.9754098360655737,,2.8632569176955163,281a90369b734f47810248c1c8d5ed85fd06f759056eb97dc4c8b1a960cb39dc,cfx_astra_eaab23cebb934bb2ba9f69f0_endpoint,expert-v2-solo-20260915T173616.942323Z-0bbd299d,evidence/cfx_astra_eaab23cebb934bb2ba9f69f0_endpoint/evaluation_result.json,1.9781260764821302,9.201888959289308,19.84523688519,,,
GPT 专家 Team,GPT,专家,Team,candidate_1,58,420,0.4774774774774775,0.4642857142857143,553,0.9065573770491804,,3.1708672587618953,a07cadbbccb696b12e6281ac52a06e2336e0e33260b494b7ed09dbdca92bd444,cfx_astra_61bc9612470e4d46ab08ef0e_endpoint,expert-v2-team-20260915T173617.847670Z-2c1bfc9d,evidence/cfx_astra_61bc9612470e4d46ab08ef0e_endpoint/evaluation_result.json,2.3309590490247385,9.905110220410378,17.785499605906253,,,
