group,candidate,species,reactions,case_id,fuel,observable,split,status,prediction,signed_sigma,source
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_1_11,c2h2,laminar_flame_speed,development,success,1.270061299794634,3.3506599107139214,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_1_3,c2h2,laminar_flame_speed,development,success,1.082049620520837,2.5372080692489676,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_1_8,c2h2,laminar_flame_speed,development,success,1.4685924080874577,3.2705665208740378,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_2_10,c2h2,laminar_flame_speed,development,success,0.4367281365837465,12.372813658374648,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_2_3,c2h2,laminar_flame_speed,development,success,0.3440180035494368,4.891800354943676,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_2_7,c2h2,laminar_flame_speed,development,success,0.5825630924838462,6.776309248384626,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_3_3,c2h2,laminar_flame_speed,development,success,0.413334226567051,2.480121009078857,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_3_7,c2h2,laminar_flame_speed,development,success,0.6600428124074461,3.0784200142463654,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_3_9,c2h2,laminar_flame_speed,development,success,0.605309071093787,3.4460880268909686,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_4_2,c2h2,laminar_flame_speed,development,success,0.973904324240574,6.482325484933391,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_4_6,c2h2,laminar_flame_speed,development,success,1.3701847668293121,3.784056802171272,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h2_4_9,c2h2,laminar_flame_speed,development,success,1.2722279157058585,7.042338146949343,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_11_3,c2h4,laminar_flame_speed,development,success,0.46595693675311073,1.7736886333229314,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_11_6,c2h4,laminar_flame_speed,development,success,0.5379701625274905,-1.1569119955344846,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_11_8,c2h4,laminar_flame_speed,development,success,0.2768619217092405,-4.402145255817436,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_12_3,c2h4,laminar_flame_speed,development,success,0.3348515962145901,2.1024155917221194,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_12_7,c2h4,laminar_flame_speed,development,success,0.4716241491149231,-1.1350340354030752,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_12_9,c2h4,laminar_flame_speed,development,success,0.2287157451896963,-3.1206092110925248,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_13_3,c2h4,laminar_flame_speed,development,success,0.2792481886230336,2.1625546526217123,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
Kimi 普通 Team,candidate_1,66,438,ffcm2-fls_c2h4_13_6,c2h4,laminar_flame_speed,development,success,0.4016545442984292,-1.4905739954640933,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json
