group,candidate,species,reactions,fuel_observable,count,success,E_full_group,E_success_subset
Kimi 普通 Team,candidate_1,66,438,ac3h4/ignition_delay,20,18,,35.172975101901166
Kimi 普通 Team,candidate_1,66,438,c2h2/ignition_delay,9,9,8.87693049607953,8.87693049607953
Kimi 普通 Team,candidate_1,66,438,c2h2/laminar_flame_speed,12,12,4.959392270567506,4.959392270567506
Kimi 普通 Team,candidate_1,66,438,c2h4/ignition_delay,38,38,1.7534210217940829,1.7534210217940829
Kimi 普通 Team,candidate_1,66,438,c2h4/laminar_flame_speed,33,33,1.6087309778399137,1.6087309778399137
Kimi 普通 Team,candidate_1,66,438,c2h6/ignition_delay,42,42,4.232037562664832,4.232037562664832
Kimi 普通 Team,candidate_1,66,438,c2h6/laminar_flame_speed,55,55,2.051051222781379,2.051051222781379
Kimi 普通 Team,candidate_1,66,438,c3h6/ignition_delay,25,25,2.7161811007557004,2.7161811007557004
Kimi 普通 Team,candidate_1,66,438,c3h6/laminar_flame_speed,28,28,3.1093738546769893,3.1093738546769893
Kimi 普通 Team,candidate_1,66,438,c3h8/ignition_delay,46,46,1.2923657377102715,1.2923657377102715
Kimi 普通 Team,candidate_1,66,438,c3h8/laminar_flame_speed,21,21,2.280564334338421,2.280564334338421
Kimi 普通 Team,candidate_1,66,438,c4h10/ignition_delay,4,4,1.9018758994726235,1.9018758994726235
Kimi 普通 Team,candidate_1,66,438,c4h10/laminar_flame_speed,9,9,1.0938176528650805,1.0938176528650805
Kimi 普通 Team,candidate_1,66,438,c4h6/ignition_delay,24,24,8.181872795007619,8.181872795007619
Kimi 普通 Team,candidate_1,66,438,c4h6/laminar_flame_speed,21,21,5.099283928522441,5.099283928522441
Kimi 普通 Team,candidate_1,66,438,c4h81/ignition_delay,15,15,4.776304890242979,4.776304890242979
Kimi 普通 Team,candidate_1,66,438,c4h81/laminar_flame_speed,9,9,2.595146434980552,2.595146434980552
Kimi 普通 Team,candidate_1,66,438,c4h82/laminar_flame_speed,7,7,9.83920869873607,9.83920869873607
Kimi 普通 Team,candidate_1,66,438,ch3cho/laminar_flame_speed,15,0,,
Kimi 普通 Team,candidate_1,66,438,ch3oh/ignition_delay,8,8,14.2065021897893,14.2065021897893
Kimi 普通 Team,candidate_1,66,438,ch3oh/laminar_flame_speed,12,12,3.815650766347915,3.815650766347915
Kimi 普通 Team,candidate_1,66,438,ch4/ignition_delay,35,35,3.418600324174362,3.418600324174362
Kimi 普通 Team,candidate_1,66,438,ch4/laminar_flame_speed,13,13,1.8456047762580223,1.8456047762580223
Kimi 普通 Team,candidate_1,66,438,h2/laminar_flame_speed,21,21,3.559314253142383,3.559314253142383
Kimi 普通 Team,candidate_1,66,438,h2plusco/laminar_flame_speed,12,12,2.0453291028626235,2.0453291028626235
Kimi 普通 Team,candidate_1,66,438,ic4h10/laminar_flame_speed,4,4,2.0282228395215336,2.0282228395215336
Kimi 普通 Team,candidate_1,66,438,ic4h8/ignition_delay,28,28,6.271276651903378,6.271276651903378
Kimi 普通 Team,candidate_1,66,438,ic4h8/laminar_flame_speed,18,18,1.7319535418134107,1.7319535418134107
Kimi 普通 Team,candidate_1,66,438,pc3h4/ignition_delay,26,26,34.82542066937431,34.82542066937431
Kimi 普通 Team,candidate_2,58,361,ac3h4/ignition_delay,20,0,,
Kimi 普通 Team,candidate_2,58,361,c2h2/ignition_delay,9,9,7.371349830486306,7.371349830486306
Kimi 普通 Team,candidate_2,58,361,c2h2/laminar_flame_speed,12,12,1.7452622936222733,1.7452622936222733
Kimi 普通 Team,candidate_2,58,361,c2h4/ignition_delay,38,38,1.3129838431491179,1.3129838431491179
Kimi 普通 Team,candidate_2,58,361,c2h4/laminar_flame_speed,33,33,2.5346509728216358,2.5346509728216358
Kimi 普通 Team,candidate_2,58,361,c2h6/ignition_delay,42,42,3.7189665148046216,3.7189665148046216
Kimi 普通 Team,candidate_2,58,361,c2h6/laminar_flame_speed,55,55,1.827014185973237,1.827014185973237
Kimi 普通 Team,candidate_2,58,361,c3h6/ignition_delay,25,25,2.398842775032912,2.398842775032912
Kimi 普通 Team,candidate_2,58,361,c3h6/laminar_flame_speed,28,28,7.333377107736588,7.333377107736588
Kimi 普通 Team,candidate_2,58,361,c3h8/ignition_delay,46,46,1.8331055728699248,1.8331055728699248
Kimi 普通 Team,candidate_2,58,361,c3h8/laminar_flame_speed,21,21,5.800740032638852,5.800740032638852
Kimi 普通 Team,candidate_2,58,361,c4h10/ignition_delay,4,4,1.8881359392924768,1.8881359392924768
Kimi 普通 Team,candidate_2,58,361,c4h10/laminar_flame_speed,9,9,3.9741796571332864,3.9741796571332864
Kimi 普通 Team,candidate_2,58,361,c4h6/ignition_delay,24,0,,
Kimi 普通 Team,candidate_2,58,361,c4h6/laminar_flame_speed,21,0,,
Kimi 普通 Team,candidate_2,58,361,c4h81/ignition_delay,15,15,8.179920793637992,8.179920793637992
Kimi 普通 Team,candidate_2,58,361,c4h81/laminar_flame_speed,9,9,8.424123778885779,8.424123778885779
Kimi 普通 Team,candidate_2,58,361,c4h82/laminar_flame_speed,7,7,11.739464879204458,11.739464879204458
Kimi 普通 Team,candidate_2,58,361,ch3cho/laminar_flame_speed,15,0,,
Kimi 普通 Team,candidate_2,58,361,ch3oh/ignition_delay,8,8,14.764988009252983,14.764988009252983
Kimi 普通 Team,candidate_2,58,361,ch3oh/laminar_flame_speed,12,12,3.653479327601619,3.653479327601619
Kimi 普通 Team,candidate_2,58,361,ch4/ignition_delay,35,35,3.282313467614706,3.282313467614706
Kimi 普通 Team,candidate_2,58,361,ch4/laminar_flame_speed,13,13,2.649018525101524,2.649018525101524
Kimi 普通 Team,candidate_2,58,361,h2/laminar_flame_speed,21,21,3.5591854690741824,3.5591854690741824
Kimi 普通 Team,candidate_2,58,361,h2plusco/laminar_flame_speed,12,12,2.0456495584852292,2.0456495584852292
Kimi 普通 Team,candidate_2,58,361,ic4h10/laminar_flame_speed,4,4,6.017223168788422,6.017223168788422
Kimi 普通 Team,candidate_2,58,361,ic4h8/ignition_delay,28,17,,17.86633775237082
Kimi 普通 Team,candidate_2,58,361,ic4h8/laminar_flame_speed,18,18,3.866353568427292,3.866353568427292
Kimi 普通 Team,candidate_2,58,361,pc3h4/ignition_delay,26,0,,
Kimi 普通 Team,candidate_3,48,307,ac3h4/ignition_delay,20,0,,
Kimi 普通 Team,candidate_3,48,307,c2h2/ignition_delay,9,9,7.371501506951487,7.371501506951487
Kimi 普通 Team,candidate_3,48,307,c2h2/laminar_flame_speed,12,12,1.7234286373848988,1.7234286373848988
Kimi 普通 Team,candidate_3,48,307,c2h4/ignition_delay,38,38,1.3310953048987764,1.3310953048987764
Kimi 普通 Team,candidate_3,48,307,c2h4/laminar_flame_speed,33,33,2.5265881964514083,2.5265881964514083
Kimi 普通 Team,candidate_3,48,307,c2h6/ignition_delay,42,42,3.718427707754845,3.718427707754845
Kimi 普通 Team,candidate_3,48,307,c2h6/laminar_flame_speed,55,55,1.8252895540560397,1.8252895540560397
Kimi 普通 Team,candidate_3,48,307,c3h6/ignition_delay,25,25,2.392456438946053,2.392456438946053
Kimi 普通 Team,candidate_3,48,307,c3h6/laminar_flame_speed,28,28,7.314680322796769,7.314680322796769
Kimi 普通 Team,candidate_3,48,307,c3h8/ignition_delay,46,46,1.8348981373884854,1.8348981373884854
Kimi 普通 Team,candidate_3,48,307,c3h8/laminar_flame_speed,21,21,5.788078653433517,5.788078653433517
Kimi 普通 Team,candidate_3,48,307,c4h10/ignition_delay,4,4,1.8828978431705943,1.8828978431705943
Kimi 普通 Team,candidate_3,48,307,c4h10/laminar_flame_speed,9,9,3.967942926628186,3.967942926628186
Kimi 普通 Team,candidate_3,48,307,c4h6/ignition_delay,24,0,,
Kimi 普通 Team,candidate_3,48,307,c4h6/laminar_flame_speed,21,0,,
Kimi 普通 Team,candidate_3,48,307,c4h81/ignition_delay,15,15,8.49939980364441,8.49939980364441
Kimi 普通 Team,candidate_3,48,307,c4h81/laminar_flame_speed,9,9,8.402110542589565,8.402110542589565
Kimi 普通 Team,candidate_3,48,307,c4h82/laminar_flame_speed,7,7,11.73512086420057,11.73512086420057
Kimi 普通 Team,candidate_3,48,307,ch3cho/laminar_flame_speed,15,0,,
Kimi 普通 Team,candidate_3,48,307,ch3oh/ignition_delay,8,8,14.612704986164664,14.612704986164664
Kimi 普通 Team,candidate_3,48,307,ch3oh/laminar_flame_speed,12,12,3.6525383765062895,3.6525383765062895
Kimi 普通 Team,candidate_3,48,307,ch4/ignition_delay,35,35,3.282313467614706,3.282313467614706
Kimi 普通 Team,candidate_3,48,307,ch4/laminar_flame_speed,13,13,2.640819700345404,2.640819700345404
Kimi 普通 Team,candidate_3,48,307,h2/laminar_flame_speed,21,21,3.559989954865207,3.559989954865207
Kimi 普通 Team,candidate_3,48,307,h2plusco/laminar_flame_speed,12,12,2.0406383229643805,2.0406383229643805
Kimi 普通 Team,candidate_3,48,307,ic4h10/laminar_flame_speed,4,4,6.005179123443961,6.005179123443961
Kimi 普通 Team,candidate_3,48,307,ic4h8/ignition_delay,28,16,,17.10424613672207
Kimi 普通 Team,candidate_3,48,307,ic4h8/laminar_flame_speed,18,18,3.8486060876871093,3.8486060876871093
Kimi 普通 Team,candidate_3,48,307,pc3h4/ignition_delay,26,0,,
Kimi 专家 Solo,candidate_1,86,613,ac3h4/ignition_delay,20,20,2.4302679314635864,2.4302679314635864
Kimi 专家 Solo,candidate_1,86,613,c2h2/ignition_delay,9,9,8.474095506635509,8.474095506635509
Kimi 专家 Solo,candidate_1,86,613,c2h2/laminar_flame_speed,12,12,2.771429470727852,2.771429470727852
Kimi 专家 Solo,candidate_1,86,613,c2h4/ignition_delay,38,38,1.6759621089314198,1.6759621089314198
Kimi 专家 Solo,candidate_1,86,613,c2h4/laminar_flame_speed,33,33,1.8520627455150243,1.8520627455150243
Kimi 专家 Solo,candidate_1,86,613,c2h6/ignition_delay,42,42,4.0766452303805165,4.0766452303805165
Kimi 专家 Solo,candidate_1,86,613,c2h6/laminar_flame_speed,55,55,1.8010770181017883,1.8010770181017883
Kimi 专家 Solo,candidate_1,86,613,c3h6/ignition_delay,25,25,3.094839192190963,3.094839192190963
Kimi 专家 Solo,candidate_1,86,613,c3h6/laminar_flame_speed,28,28,2.600676005910575,2.600676005910575
Kimi 专家 Solo,candidate_1,86,613,c3h8/ignition_delay,46,46,1.2661959152426518,1.2661959152426518
Kimi 专家 Solo,candidate_1,86,613,c3h8/laminar_flame_speed,21,21,2.260201997043415,2.260201997043415
Kimi 专家 Solo,candidate_1,86,613,c4h10/ignition_delay,4,4,2.3044191719718814,2.3044191719718814
Kimi 专家 Solo,candidate_1,86,613,c4h10/laminar_flame_speed,9,9,2.5845156805599063,2.5845156805599063
Kimi 专家 Solo,candidate_1,86,613,c4h6/ignition_delay,24,24,1.463081646956967,1.463081646956967
Kimi 专家 Solo,candidate_1,86,613,c4h6/laminar_flame_speed,21,21,1.228990462964802,1.228990462964802
Kimi 专家 Solo,candidate_1,86,613,c4h81/ignition_delay,15,15,2.693976519173093,2.693976519173093
Kimi 专家 Solo,candidate_1,86,613,c4h81/laminar_flame_speed,9,9,1.8550472567635734,1.8550472567635734
Kimi 专家 Solo,candidate_1,86,613,c4h82/laminar_flame_speed,7,0,,
Kimi 专家 Solo,candidate_1,86,613,ch3cho/laminar_flame_speed,15,15,1.435180056721871,1.435180056721871
Kimi 专家 Solo,candidate_1,86,613,ch3oh/ignition_delay,8,8,14.529650286431735,14.529650286431735
Kimi 专家 Solo,candidate_1,86,613,ch3oh/laminar_flame_speed,12,12,3.759383108410667,3.759383108410667
Kimi 专家 Solo,candidate_1,86,613,ch4/ignition_delay,35,35,3.4108726531149136,3.4108726531149136
Kimi 专家 Solo,candidate_1,86,613,ch4/laminar_flame_speed,13,13,1.7815316210272103,1.7815316210272103
Kimi 专家 Solo,candidate_1,86,613,h2/laminar_flame_speed,21,21,3.559315271662625,3.559315271662625
Kimi 专家 Solo,candidate_1,86,613,h2plusco/laminar_flame_speed,12,12,2.0454389418366503,2.0454389418366503
Kimi 专家 Solo,candidate_1,86,613,ic4h10/laminar_flame_speed,4,0,,
Kimi 专家 Solo,candidate_1,86,613,ic4h8/ignition_delay,28,28,4.8071097158836436,4.8071097158836436
Kimi 专家 Solo,candidate_1,86,613,ic4h8/laminar_flame_speed,18,18,2.5362795931472935,2.5362795931472935
Kimi 专家 Solo,candidate_1,86,613,pc3h4/ignition_delay,26,26,1.6289246681702279,1.6289246681702279
Kimi 专家 Solo,candidate_2,62,370,ac3h4/ignition_delay,20,20,1.9964967383704941,1.9964967383704941
Kimi 专家 Solo,candidate_2,62,370,c2h2/ignition_delay,9,9,18.20264087737092,18.20264087737092
Kimi 专家 Solo,candidate_2,62,370,c2h2/laminar_flame_speed,12,12,3.5805756223028022,3.5805756223028022
Kimi 专家 Solo,candidate_2,62,370,c2h4/ignition_delay,38,38,3.335578757213454,3.335578757213454
Kimi 专家 Solo,candidate_2,62,370,c2h4/laminar_flame_speed,33,33,2.2156759999189384,2.2156759999189384
Kimi 专家 Solo,candidate_2,62,370,c2h6/ignition_delay,42,42,3.6830071534715865,3.6830071534715865
Kimi 专家 Solo,candidate_2,62,370,c2h6/laminar_flame_speed,55,55,1.707545054136091,1.707545054136091
Kimi 专家 Solo,candidate_2,62,370,c3h6/ignition_delay,25,25,4.870228672234411,4.870228672234411
Kimi 专家 Solo,candidate_2,62,370,c3h6/laminar_flame_speed,28,28,3.99944661968246,3.99944661968246
Kimi 专家 Solo,candidate_2,62,370,c3h8/ignition_delay,46,0,,
Kimi 专家 Solo,candidate_2,62,370,c3h8/laminar_flame_speed,21,0,,
Kimi 专家 Solo,candidate_2,62,370,c4h10/ignition_delay,4,0,,
Kimi 专家 Solo,candidate_2,62,370,c4h10/laminar_flame_speed,9,0,,
Kimi 专家 Solo,candidate_2,62,370,c4h6/ignition_delay,24,0,,
Kimi 专家 Solo,candidate_2,62,370,c4h6/laminar_flame_speed,21,0,,
Kimi 专家 Solo,candidate_2,62,370,c4h81/ignition_delay,15,0,,
Kimi 专家 Solo,candidate_2,62,370,c4h81/laminar_flame_speed,9,0,,
Kimi 专家 Solo,candidate_2,62,370,c4h82/laminar_flame_speed,7,0,,
Kimi 专家 Solo,candidate_2,62,370,ch3cho/laminar_flame_speed,15,15,1.367288742506949,1.367288742506949
Kimi 专家 Solo,candidate_2,62,370,ch3oh/ignition_delay,8,8,14.37398530168431,14.37398530168431
Kimi 专家 Solo,candidate_2,62,370,ch3oh/laminar_flame_speed,12,12,3.7575141140655552,3.7575141140655552
Kimi 专家 Solo,candidate_2,62,370,ch4/ignition_delay,35,35,3.407769592615692,3.407769592615692
Kimi 专家 Solo,candidate_2,62,370,ch4/laminar_flame_speed,13,13,1.8037847565320757,1.8037847565320757
Kimi 专家 Solo,candidate_2,62,370,h2/laminar_flame_speed,21,21,3.559187314244418,3.559187314244418
Kimi 专家 Solo,candidate_2,62,370,h2plusco/laminar_flame_speed,12,12,2.0456458166380904,2.0456458166380904
Kimi 专家 Solo,candidate_2,62,370,ic4h10/laminar_flame_speed,4,0,,
Kimi 专家 Solo,candidate_2,62,370,ic4h8/ignition_delay,28,28,4.889704770613917,4.889704770613917
Kimi 专家 Solo,candidate_2,62,370,ic4h8/laminar_flame_speed,18,18,2.155689473215609,2.155689473215609
Kimi 专家 Solo,candidate_2,62,370,pc3h4/ignition_delay,26,26,1.5826992290338235,1.5826992290338235
Kimi 专家 Solo,candidate_3,49,290,ac3h4/ignition_delay,20,20,2.1775577127668067,2.1775577127668067
Kimi 专家 Solo,candidate_3,49,290,c2h2/ignition_delay,9,9,20.264713027006234,20.264713027006234
Kimi 专家 Solo,candidate_3,49,290,c2h2/laminar_flame_speed,12,12,2.21377085383976,2.21377085383976
Kimi 专家 Solo,candidate_3,49,290,c2h4/ignition_delay,38,38,3.348070179082466,3.348070179082466
Kimi 专家 Solo,candidate_3,49,290,c2h4/laminar_flame_speed,33,33,1.8092183688368977,1.8092183688368977
